id	type	longitude	latitude	elevation
6370	136	-97.7247	30.2864	0.0
6371	136	-97.7252	30.2856	0.0
9915	136	-97.7239	30.2881	0.0
9914	136	-97.7256	30.2854	0.0
6379	136	-97.7234	30.289	0.0
6374	136	-97.7255	30.2857	0.0
6377	136	-97.7238	30.2888	0.0
12077	136	-97.7228	30.2853	0.0
6400	136	-97.7241	30.2874	0.0
6383	136	-97.7239	30.2877	0.0
11791	136	-97.7231	30.289	0.0
6387	136	-97.7269	30.283	0.0
11027	136	-97.726	30.2831	0.0
12169	136	-97.7264	30.2838	0.0
13129	136	-97.7319	30.2672	0.0
5694	136	-97.7365	30.2571	0.0
6398	136	-97.72513	30.286652	0.0
5735	136	-97.734	30.267646	0.0
18630	136	-97.7360458320313	30.2596479726562	0.0
125469	1000	-97.7455	30.2609	0.0
125545	1000	-97.7615	30.2694	0.0
125551	1000	-97.7487	30.2611	0.0
125553	1000	-97.7571	30.2645	0.0
125659	1000	-97.7368	30.2612	0.0
125709	1000	-97.7333	30.2706	0.0
125710	1000	-97.734	30.2687	0.0
125761	1000	-97.7347	30.2668	0.0
125762	1000	-97.735	30.2659	0.0
125763	1000	-97.7354	30.2649	0.0
125772	1000	-97.7328	30.2718	0.0
125780	1000	-97.7318	30.2748	0.0
126234	1000	-97.7563	30.2895	0.0
126307	1000	-97.733	30.2937	0.0
126359	1000	-97.7396	30.3003	0.0
126364	1000	-97.7447	30.3027	0.0
126376	1000	-97.7275	30.2831	0.0
126398	1000	-97.72513	30.286652	0.0
126399	1000	-97.727	30.2914	0.0
131229	1000	-97.7357	30.2972	0.0
131483	1000	-97.7543	30.2779	0.0
131536	1000	-97.7558	30.2708	0.0
131786	1000	-97.7578	30.273	0.0
132672	1000	-97.7343	30.2677	0.0
133094	1000	-97.7361	30.2631	0.0
133096	1000	-97.7505	30.2997	0.0
133099	1000	-97.7516	30.2801	0.0
133115	1000	-97.7357	30.264	0.0
133116	1000	-97.7336	30.2697	0.0
133122	1000	-97.7362	30.2963	0.0
125669	1000	-97.7309	30.2635	0.0
125682	1000	-97.737	30.257	0.0
125694	1000	-97.7365	30.2571	0.0
126384	1000	-97.7222	30.2909	0.0
126386	1000	-97.7268	30.2788	0.0
126392	1000	-97.728	30.2808	0.0
129912	1000	-97.7165	30.3002	0.0
130479	1000	-97.7315	30.2647	0.0
130584	1000	-97.7342	30.2615	0.0
130616	1000	-97.7294	30.2692	0.0
130631	1000	-97.7314	30.273	0.0
131027	1000	-97.726	30.2831	0.0
131551	1000	-97.7344	30.2605	0.0
132077	1000	-97.7228	30.2853	0.0
132097	1000	-97.7308	30.272	0.0
133129	1000	-97.7319	30.2672	0.0
225469	1000	-97.7455	30.2609	0.0
225545	1000	-97.7615	30.2694	0.0
225551	1000	-97.7487	30.2611	0.0
225553	1000	-97.7571	30.2645	0.0
225659	1000	-97.7368	30.2612	0.0
225709	1000	-97.7333	30.2706	0.0
225710	1000	-97.734	30.2687	0.0
225761	1000	-97.7347	30.2668	0.0
225762	1000	-97.735	30.2659	0.0
225763	1000	-97.7354	30.2649	0.0
225772	1000	-97.7328	30.2718	0.0
225780	1000	-97.7318	30.2748	0.0
226234	1000	-97.7563	30.2895	0.0
226307	1000	-97.733	30.2937	0.0
226359	1000	-97.7396	30.3003	0.0
226364	1000	-97.7447	30.3027	0.0
226376	1000	-97.7275	30.2831	0.0
226398	1000	-97.72513	30.286652	0.0
226399	1000	-97.727	30.2914	0.0
231229	1000	-97.7357	30.2972	0.0
231483	1000	-97.7543	30.2779	0.0
231536	1000	-97.7558	30.2708	0.0
231786	1000	-97.7578	30.273	0.0
232672	1000	-97.7343	30.2677	0.0
233094	1000	-97.7361	30.2631	0.0
233096	1000	-97.7505	30.2997	0.0
233099	1000	-97.7516	30.2801	0.0
233115	1000	-97.7357	30.264	0.0
233116	1000	-97.7336	30.2697	0.0
233122	1000	-97.7362	30.2963	0.0
225669	1000	-97.7309	30.2635	0.0
225682	1000	-97.737	30.257	0.0
225694	1000	-97.7365	30.2571	0.0
226384	1000	-97.7222	30.2909	0.0
