id	type	origin	destination	demand
2117	111	126399	200358	10.3897
2118	111	126399	200363	48.48524999999999
2119	111	126399	200362	76.19112
2120	111	126399	200361	51.94852
2121	111	126399	200360	3.46324
2122	111	126399	200375	22.51101
2123	111	126399	200374	6.92647
2124	111	126399	200373	3.46324
2125	111	126399	200372	9.194880000000001
2126	111	126399	231483	1.0
2127	111	126399	200379	76.19115
2128	111	126399	226234	60.0
2129	111	126399	200378	27.705869999999997
2130	111	126399	200377	53.68011
2131	111	126399	200376	45.022009999999995
2132	111	126399	200383	48.48526
2133	111	126399	200382	15.58454
2134	111	126399	225469	14.040000000000001
2135	111	126399	231229	1.0
2136	111	126399	200381	53.680099999999996
2137	111	126399	200380	27.705869999999997
2138	111	126399	200386	32.90071
2139	111	126399	201410	6.92648
2140	111	126399	200385	64.06982
2141	111	126399	201409	15.584559999999998
2142	111	126399	200384	25.974249999999998
2143	111	126399	201408	17.31616
2144	111	126399	201413	77.92289
2145	111	126399	230479	1.14443
2146	111	126399	200403	11.03386
2147	111	126399	226386	4.06933
2148	111	126399	200407	5.19485
2149	111	126399	200406	29.437479999999997
2150	111	126399	200405	25.745669999999997
2151	111	126399	200404	3.67796
2152	111	126399	230616	4.30566
2153	111	126399	231786	20.178
2154	111	126399	231791	14.9957
2155	111	126399	231027	18.15368
2156	111	130631	225698	0.864787
2157	111	130631	200384	2.0
2158	111	130631	200358	1.0
2159	111	130631	201413	1.0
2160	111	130631	233099	2.0
2161	111	130631	231786	5.3100000000000005
2162	111	130631	225545	4.248
2163	111	130631	225673	0.4986604000000001
2164	111	130631	233096	2.0
2165	111	130631	225553	3.186
2166	111	130631	200406	1.0
2167	111	130631	200405	7.434
2168	111	130631	200373	1.0
2169	111	130631	200379	2.0
2170	111	130631	200377	1.0
2171	111	130631	226393	3.5201409999999997
2172	111	130631	200376	2.0
2173	111	130631	200383	2.0
2174	111	130631	226399	1.0
2175	111	130631	225469	0.52
2176	111	130631	200381	1.0
2177	111	130631	200380	1.0
2178	111	131027	226307	3.3637799999999998
2179	111	131027	233099	28.031519999999997
2180	111	131027	225545	1.19078
2181	111	131027	225673	1.6455802
